Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,"Success
",F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.0B0003.1,Failure,4 June 2010,18:45
1,CCAFS,Dragon,525 kg,LEO,NASA,Success,F9 v1.0B0003.1,"No attempt
",4 June 2010,18:45
1,CCAFS,Dragon,"4,700 kg",LEO,NASA,"Success
",F9 v1.0B0003.1,No attempt,4 June 2010,18:45
1,CCAFS,SpaceX CRS-1,"4,877 kg",LEO,NASA,"Success
",F9 v1.0B0004.1,"No attempt
",8 December 2010,15:43
2,CCAFS,SpaceX CRS-2,500 kg,Polar orbit,MDA,Success,F9 v1.0B0005.1,Uncontrolled,22 May 2012,07:44
3,VAFB,CASSIOPE,"3,170 kg",GTO,SES,Success,F9 v1.0B0006.1,No attempt,8 October 2012,00:35
4,CCAFS,SES-8,"3,325 kg",GTO,Thaicom,Success,F9 v1.0B0007.1,No attempt,1 March 2013,15:10
5,CCAFS,Thaicom 6,"2,296 kg",LEO,NASA,"Success
",F9 v1.1B1003,Controlled,29 September 2013,16:00
6,Cape Canaveral,SpaceX CRS-3,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,3 December 2013,22:41
7,Cape Canaveral,Orbcomm-OG2,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,6 January 2014,22:06
8,Cape Canaveral,AsiaSat 8,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1,"No attempt
",18 April 2014,19:25
9,Cape Canaveral,AsiaSat 6,"2,216 kg",LEO,NASA,Success,F9 v1.1,Uncontrolled,14 July 2014,15:15
10,Cape Canaveral,SpaceX CRS-4,"2,395 kg",LEO,NASA,Success,F9 v1.1,Failure ,5 August 2014,08:00
11,Cape Canaveral,SpaceX CRS-5,570 kg,HEO,USAF,"Success
",F9 v1.1,Controlled,7 September 2014,05:00
12,Cape Canaveral,DSCOVR,"4,159 kg",GTO,ABS,"Success
",F9 v1.1,No attempt,21 September 2014,05:52
13,Cape Canaveral,ABS-3A,"1,898 kg",LEO,NASA,"Success
",F9 v1.1,Failure,10 January 2015,09:47
14,Cape Canaveral,SpaceX CRS-6,"4,707 kg",GTO,,"Success
",F9 v1.1,No attempt,11 February 2015,23:03
15,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,"1,952 kg",LEO,NASA,Failure,F9 v1.1,Precluded,2 March 2015,03:50
16,Cape Canaveral,SpaceX CRS-7,"2,034 kg",LEO,Orbcomm,"Success
",F9 v1.1,Success,14 April 2015,20:10
17,Cape Canaveral,Orbcomm-OG2,553 kg,LEO,NASA,"Success
",F9 v1.1,Failure,27 April 2015,23:03
18,VAFB,Jason-3,"5,271 kg",GTO,SES,"Success
",F9 v1.1,Failure,28 June 2015,14:21
19,Cape Canaveral,SES-9,"3,136 kg",LEO,NASA,Success,F9 FT,Success,22 December 2015,01:29
20,Cape Canaveral,SpaceX CRS-8,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 v1.1,Success,17 January 2016,18:42
21,Cape Canaveral,JCSAT-14,"3,100 kg",GTO,Thaicom,"Success
",F9 FT,Success,4 March 2016,23:35
22,Cape Canaveral,Thaicom 8,"3,600 kg",GTO,ABS,"Success
",F9 FT,Failure,8 April 2016,20:43
23,Cape Canaveral,ABS-2A,"2,257 kg",LEO,NASA,"Success
",F9 FT,Success,6 May 2016,05:21
24,Cape Canaveral,SpaceX CRS-9,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT,Success,27 May 2016,21:39
25,Cape Canaveral,JCSAT-16,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT,Success,15 June 2016,14:29
26,VAFB,Iridium NEXT,"2,490 kg",LEO,NASA,"Success
",F9 FT,Success,18 July 2016,04:45
27,KSC,SpaceX CRS-10,"5,600 kg",GTO,EchoStar,"Success
",F9 FT,No attempt,14 August 2016,05:26
28,KSC,EchoStar 23,"5,300 kg",GTO,SES,Success,F9 FT,Success,14 January 2017,17:54
